# Mass           Radius         Fe/Mg          Si/Mg          wt%+h2o        Bulk density   core_wt%       core_rad%      
3.40000       1.42357       0.50000       0.50000       0.00000       6497.50971    0.28414       0.48217   
3.40000       1.42805       0.50000       0.60000       0.00000       6436.59675    0.26777       0.47147   
3.40000       1.43205       0.50000       0.70000       0.00000       6382.84039    0.25318       0.46168   
3.40000       1.43564       0.50000       0.80000       0.00000       6335.04949    0.24010       0.45268   
3.40000       1.43889       0.50000       0.90000       0.00000       6292.27022    0.22830       0.44436   
3.40000       1.44387       0.50000       1.00000       0.00000       6227.36196    0.21761       0.43602   
3.40000       1.44466       0.50000       1.10000       0.00000       6217.19755    0.20788       0.42939   
3.40000       1.44725       0.50000       1.20000       0.00000       6183.79639    0.19898       0.42262   
3.40000       1.44965       0.50000       1.30000       0.00000       6153.16586    0.19081       0.41626   
3.40000       1.45187       0.50000       1.40000       0.00000       6124.99154    0.18328       0.41028   
3.40000       1.45393       0.50000       1.50000       0.00000       6099.00961    0.17633       0.40463   
3.40000       1.45584       0.50000       1.60000       0.00000       6074.96946    0.16988       0.39929   
3.40000       1.45763       0.50000       1.70000       0.00000       6052.70595    0.16389       0.39422   
3.40000       1.45928       0.50000       1.80000       0.00000       6032.13963    0.15831       0.38941   
3.40000       1.46083       0.50000       1.90000       0.00000       6012.90750    0.15309       0.38483   
3.40000       1.40914       0.60000       0.50000       0.00000       6699.18043    0.32263       0.50758   
3.40000       1.41420       0.60000       0.60000       0.00000       6627.60014    0.30499       0.49655   
3.40000       1.41874       0.60000       0.70000       0.00000       6564.22017    0.28917       0.48645   
3.40000       1.42283       0.60000       0.80000       0.00000       6507.69845    0.27492       0.47714   
3.40000       1.42655       0.60000       0.90000       0.00000       6456.98916    0.26200       0.46852   
3.40000       1.43191       0.60000       1.00000       0.00000       6384.74646    0.25024       0.45988   
3.40000       1.43316       0.60000       1.10000       0.00000       6367.95018    0.23950       0.45299   
3.40000       1.43614       0.60000       1.20000       0.00000       6328.39789    0.22963       0.44595   
3.40000       1.43890       0.60000       1.30000       0.00000       6292.08656    0.22055       0.43934   
3.40000       1.44146       0.60000       1.40000       0.00000       6258.65550    0.21216       0.43312   
3.40000       1.44384       0.60000       1.50000       0.00000       6227.78186    0.20438       0.42723   
3.40000       1.44605       0.60000       1.60000       0.00000       6199.21453    0.19716       0.42167   
3.40000       1.44812       0.60000       1.70000       0.00000       6172.70188    0.19043       0.41638   
3.40000       1.45004       0.60000       1.80000       0.00000       6148.19425    0.18414       0.41137   
3.40000       1.45185       0.60000       1.90000       0.00000       6125.25250    0.17825       0.40659   
3.40000       1.39605       0.70000       0.50000       0.00000       6889.37422    0.35720       0.52962   
3.40000       1.40157       0.70000       0.60000       0.00000       6808.38311    0.33861       0.51835   
3.40000       1.40654       0.70000       0.70000       0.00000       6736.41984    0.32186       0.50800   
3.40000       1.41105       0.70000       0.80000       0.00000       6672.06830    0.30668       0.49845   
3.40000       1.41515       0.70000       0.90000       0.00000       6614.18367    0.29288       0.48960   
3.40000       1.42083       0.70000       1.00000       0.00000       6535.28922    0.28026       0.48072   
3.40000       1.42248       0.70000       1.10000       0.00000       6512.45416    0.26869       0.47363   
3.40000       1.42579       0.70000       1.20000       0.00000       6467.26009    0.25803       0.46638   
3.40000       1.42886       0.70000       1.30000       0.00000       6425.72503    0.24819       0.45956   
3.40000       1.43170       0.70000       1.40000       0.00000       6387.44018    0.23907       0.45314   
3.40000       1.43436       0.70000       1.50000       0.00000       6352.05286    0.23059       0.44706   
3.40000       1.43684       0.70000       1.60000       0.00000       6319.25003    0.22270       0.44131   
3.40000       1.43915       0.70000       1.70000       0.00000       6288.80160    0.21533       0.43585   
3.40000       1.44131       0.70000       1.80000       0.00000       6260.58101    0.20843       0.43066   
3.40000       1.44334       0.70000       1.90000       0.00000       6234.18986    0.20196       0.42571   
3.40000       1.38412       0.80000       0.50000       0.00000       7069.15987    0.38841       0.54906   
3.40000       1.39000       0.80000       0.60000       0.00000       6979.81899    0.36912       0.53761   
3.40000       1.39532       0.80000       0.70000       0.00000       6900.20560    0.35167       0.52708   
3.40000       1.40017       0.80000       0.80000       0.00000       6828.81807    0.33578       0.51735   
3.40000       1.40460       0.80000       0.90000       0.00000       6764.44022    0.32128       0.50831   
3.40000       1.41054       0.80000       1.00000       0.00000       6679.35172    0.30797       0.49924   
3.40000       1.41253       0.80000       1.10000       0.00000       6651.13619    0.29572       0.49198   
3.40000       1.41611       0.80000       1.20000       0.00000       6600.76639    0.28441       0.48456   
3.40000       1.41944       0.80000       1.30000       0.00000       6554.41376    0.27393       0.47758   
3.40000       1.42254       0.80000       1.40000       0.00000       6511.64498    0.26420       0.47098   
3.40000       1.42544       0.80000       1.50000       0.00000       6472.06814    0.25513       0.46475   
3.40000       1.42814       0.80000       1.60000       0.00000       6435.33121    0.24667       0.45884   
3.40000       1.43068       0.80000       1.70000       0.00000       6401.20904    0.23875       0.45323   
3.40000       1.43304       0.80000       1.80000       0.00000       6369.53623    0.23132       0.44789   
3.40000       1.43528       0.80000       1.90000       0.00000       6339.86952    0.22434       0.44280   
3.40000       1.37318       0.90000       0.50000       0.00000       7239.44300    0.41672       0.56644   
3.40000       1.37935       0.90000       0.60000       0.00000       7142.70105    0.39695       0.55486   
3.40000       1.38496       0.90000       0.70000       0.00000       7056.24070    0.37896       0.54419   
3.40000       1.39009       0.90000       0.80000       0.00000       6978.51136    0.36254       0.53431   
3.40000       1.39478       0.90000       0.90000       0.00000       6908.25964    0.34748       0.52513   
3.40000       1.40094       0.90000       1.00000       0.00000       6817.51772    0.33362       0.51590   
3.40000       1.40322       0.90000       1.10000       0.00000       6784.38359    0.32083       0.50852   
3.40000       1.40704       0.90000       1.20000       0.00000       6729.26610    0.30898       0.50095   
3.40000       1.41060       0.90000       1.30000       0.00000       6678.47638    0.29797       0.49383   
3.40000       1.41392       0.90000       1.40000       0.00000       6631.54823    0.28772       0.48710   
3.40000       1.41702       0.90000       1.50000       0.00000       6588.07043    0.27815       0.48073   
3.40000       1.41993       0.90000       1.60000       0.00000       6547.68853    0.26920       0.47469   
3.40000       1.42265       0.90000       1.70000       0.00000       6510.11515    0.26081       0.46895   
3.40000       1.42521       0.90000       1.80000       0.00000       6475.21043    0.25292       0.46349   
3.40000       1.42762       0.90000       1.90000       0.00000       6442.48697    0.24550       0.45828   
3.40000       1.36311       1.00000       0.50000       0.00000       7401.02258    0.44254       0.58213   
3.40000       1.36952       1.00000       0.60000       0.00000       7297.70644    0.42242       0.57045   
3.40000       1.37536       1.00000       0.70000       0.00000       7205.11484    0.40406       0.55968   
3.40000       1.38071       1.00000       0.80000       0.00000       7121.66766    0.38722       0.54970   
3.40000       1.38563       1.00000       0.90000       0.00000       7046.08452    0.37174       0.54041   
3.40000       1.39197       1.00000       1.00000       0.00000       6950.23103    0.35744       0.53105   
3.40000       1.39449       1.00000       1.10000       0.00000       6912.56800    0.34420       0.52356   
3.40000       1.39852       1.00000       1.20000       0.00000       6853.06413    0.33191       0.51587   
3.40000       1.40227       1.00000       1.30000       0.00000       6798.17864    0.32047       0.50863   
3.40000       1.40578       1.00000       1.40000       0.00000       6747.40203    0.30979       0.50179   
3.40000       1.40906       1.00000       1.50000       0.00000       6700.30484    0.29979       0.49531   
3.40000       1.41215       1.00000       1.60000       0.00000       6656.50635    0.29042       0.48916   
3.40000       1.41504       1.00000       1.70000       0.00000       6615.71880    0.28162       0.48331   
3.40000       1.41776       1.00000       1.80000       0.00000       6577.78311    0.27334       0.47775   
3.40000       1.42033       1.00000       1.90000       0.00000       6542.17314    0.26553       0.47243   
3.40000       1.35381       1.10000       0.50000       0.00000       7554.61945    0.46616       0.59641   
3.40000       1.36040       1.10000       0.60000       0.00000       7445.44232    0.44583       0.58467   
3.40000       1.36642       1.10000       0.70000       0.00000       7347.35417    0.42720       0.57382   
3.40000       1.37196       1.10000       0.80000       0.00000       7258.74956    0.41007       0.56376   
3.40000       1.37707       1.10000       0.90000       0.00000       7178.32732    0.39425       0.55438   
3.40000       1.38355       1.10000       1.00000       0.00000       7077.94836    0.37962       0.54493   
3.40000       1.38629       1.10000       1.10000       0.00000       7035.96730    0.36602       0.53735   
3.40000       1.39049       1.10000       1.20000       0.00000       6972.44586    0.35337       0.52957   
3.40000       1.39441       1.10000       1.30000       0.00000       6913.76227    0.34157       0.52223   
3.40000       1.39808       1.10000       1.40000       0.00000       6859.41584    0.33052       0.51529   
3.40000       1.40153       1.10000       1.50000       0.00000       6808.95563    0.32017       0.50872   
3.40000       1.40477       1.10000       1.60000       0.00000       6761.97948    0.31045       0.50248   
3.40000       1.40781       1.10000       1.70000       0.00000       6718.18425    0.30130       0.49654   
3.40000       1.41067       1.10000       1.80000       0.00000       6677.39229    0.29268       0.49088   
3.40000       1.41338       1.10000       1.90000       0.00000       6639.09531    0.28453       0.48547   
3.40000       1.34519       1.20000       0.50000       0.00000       7700.83038    0.48786       0.60949   
3.40000       1.35192       1.20000       0.60000       0.00000       7586.44683    0.46742       0.59772   
3.40000       1.35809       1.20000       0.70000       0.00000       7483.42729    0.44862       0.58682   
3.40000       1.36378       1.20000       0.80000       0.00000       7390.16230    0.43127       0.57670   
3.40000       1.36904       1.20000       0.90000       0.00000       7305.33797    0.41521       0.56726   
3.40000       1.37563       1.20000       1.00000       0.00000       7200.82466    0.40031       0.55773   
3.40000       1.37857       1.20000       1.10000       0.00000       7154.89521    0.38644       0.55007   
3.40000       1.38291       1.20000       1.20000       0.00000       7087.65751    0.37350       0.54222   
3.40000       1.38698       1.20000       1.30000       0.00000       7025.46794    0.36140       0.53480   
3.40000       1.39080       1.20000       1.40000       0.00000       6967.81442    0.35005       0.52779   
3.40000       1.39438       1.20000       1.50000       0.00000       6914.21859    0.33940       0.52113   
3.40000       1.39776       1.20000       1.60000       0.00000       6864.25972    0.32938       0.51481   
3.40000       1.40093       1.20000       1.70000       0.00000       6817.65405    0.31993       0.50879   
3.40000       1.40392       1.20000       1.80000       0.00000       6774.19649    0.31101       0.50305   
3.40000       1.40676       1.20000       1.90000       0.00000       6733.35378    0.30257       0.49757   
3.40000       1.33717       1.30000       0.50000       0.00000       7840.22689    0.50787       0.62155   
3.40000       1.34400       1.30000       0.60000       0.00000       7721.20280    0.48738       0.60976   
3.40000       1.35030       1.30000       0.70000       0.00000       7613.75401    0.46849       0.59883   
3.40000       1.35611       1.30000       0.80000       0.00000       7516.27787    0.45100       0.58867   
3.40000       1.36149       1.30000       0.90000       0.00000       7427.45180    0.43477       0.57918   
3.40000       1.36818       1.30000       1.00000       0.00000       7319.05336    0.41967       0.56959   
3.40000       1.37128       1.30000       1.10000       0.00000       7269.60619    0.40558       0.56188   
3.40000       1.37575       1.30000       1.20000       0.00000       7198.94167    0.39241       0.55397   
3.40000       1.37994       1.30000       1.30000       0.00000       7133.50775    0.38007       0.54648   
3.40000       1.38388       1.30000       1.40000       0.00000       7072.77287    0.36848       0.53940   
3.40000       1.38759       1.30000       1.50000       0.00000       7016.25487    0.35757       0.53268   
3.40000       1.39108       1.30000       1.60000       0.00000       6963.51978    0.34729       0.52629   
3.40000       1.39438       1.30000       1.70000       0.00000       6914.28712    0.33759       0.52020   
3.40000       1.39748       1.30000       1.80000       0.00000       6868.31212    0.32841       0.51439   
3.40000       1.40043       1.30000       1.90000       0.00000       6825.07759    0.31972       0.50885   
3.40000       1.32969       1.40000       0.50000       0.00000       7973.30346    0.52637       0.63272   
3.40000       1.33661       1.40000       0.60000       0.00000       7850.14559    0.50591       0.62093   
3.40000       1.34299       1.40000       0.70000       0.00000       7738.71865    0.48698       0.60999   
3.40000       1.34890       1.40000       0.80000       0.00000       7637.43167    0.46941       0.59980   
3.40000       1.35439       1.40000       0.90000       0.00000       7544.96649    0.45306       0.59028   
3.40000       1.36117       1.40000       1.00000       0.00000       7432.77743    0.43782       0.58064   
3.40000       1.36439       1.40000       1.10000       0.00000       7380.32712    0.42357       0.57289   
3.40000       1.36897       1.40000       1.20000       0.00000       7306.50322    0.41021       0.56493   
3.40000       1.37327       1.40000       1.30000       0.00000       7238.07098    0.39768       0.55739   
3.40000       1.37731       1.40000       1.40000       0.00000       7174.47737    0.38588       0.55025   
3.40000       1.38112       1.40000       1.50000       0.00000       7115.23504    0.37477       0.54347   
3.40000       1.38472       1.40000       1.60000       0.00000       7059.90710    0.36428       0.53702   
3.40000       1.38812       1.40000       1.70000       0.00000       7008.19855    0.35436       0.53088   
3.40000       1.39133       1.40000       1.80000       0.00000       6959.86831    0.34496       0.52502   
3.40000       1.39437       1.40000       1.90000       0.00000       6914.37920    0.33605       0.51941   
3.40000       1.32269       1.50000       0.50000       0.00000       8100.51173    0.54354       0.64310   
3.40000       1.32967       1.50000       0.60000       0.00000       7973.66392    0.52314       0.63133   
3.40000       1.33612       1.50000       0.70000       0.00000       7858.66729    0.50422       0.62039   
3.40000       1.34211       1.50000       0.80000       0.00000       7753.93751    0.48662       0.61019   
3.40000       1.34768       1.50000       0.90000       0.00000       7658.15509    0.47021       0.60065   
3.40000       1.35450       1.50000       1.00000       0.00000       7543.13206    0.45487       0.59099   
3.40000       1.35786       1.50000       1.10000       0.00000       7487.28734    0.44049       0.58320   
3.40000       1.36253       1.50000       1.20000       0.00000       7410.55418    0.42700       0.57519   
3.40000       1.36692       1.50000       1.30000       0.00000       7339.33445    0.41431       0.56762   
3.40000       1.37106       1.50000       1.40000       0.00000       7273.07875    0.40236       0.56043   
3.40000       1.37496       1.50000       1.50000       0.00000       7211.28998    0.39107       0.55360   
3.40000       1.37865       1.50000       1.60000       0.00000       7153.54524    0.38040       0.54711   
3.40000       1.38214       1.50000       1.70000       0.00000       7099.52080    0.37030       0.54091   
3.40000       1.38544       1.50000       1.80000       0.00000       7048.96853    0.36071       0.53500   
3.40000       1.38857       1.50000       1.90000       0.00000       7001.36279    0.35162       0.52934   
3.40000       1.31613       1.60000       0.50000       0.00000       8222.24033    0.55950       0.65280   
3.40000       1.32315       1.60000       0.60000       0.00000       8092.12297    0.53921       0.64105   
3.40000       1.32965       1.60000       0.70000       0.00000       7973.91559    0.52034       0.63013   
3.40000       1.33570       1.60000       0.80000       0.00000       7866.06716    0.50275       0.61992   
3.40000       1.34134       1.60000       0.90000       0.00000       7767.26897    0.48631       0.61037   
3.40000       1.34821       1.60000       1.00000       0.00000       7649.25573    0.47091       0.60069   
3.40000       1.35166       1.60000       1.10000       0.00000       7590.69477    0.45646       0.59288   
3.40000       1.35641       1.60000       1.20000       0.00000       7511.26089    0.44286       0.58484   
3.40000       1.36088       1.60000       1.30000       0.00000       7437.46299    0.43006       0.57723   
3.40000       1.36510       1.60000       1.40000       0.00000       7368.73018    0.41797       0.57001   
3.40000       1.36909       1.60000       1.50000       0.00000       7304.57375    0.40654       0.56315   
3.40000       1.37286       1.60000       1.60000       0.00000       7244.56238    0.39572       0.55661   
3.40000       1.37642       1.60000       1.70000       0.00000       7188.36587    0.38547       0.55037   
3.40000       1.37980       1.60000       1.80000       0.00000       7135.73067    0.37573       0.54442   
3.40000       1.38301       1.60000       1.90000       0.00000       7086.12232    0.36647       0.53871   
