# Mass           Radius         Fe/Mg          Si/Mg          wt%+h2o        Bulk density   core_wt%       core_rad%      
3.10000       1.38916       0.50000       0.50000       0.00000       6375.48343    0.28414       0.48315   
3.10000       1.39344       0.50000       0.60000       0.00000       6316.88657    0.26777       0.47245   
3.10000       1.39727       0.50000       0.70000       0.00000       6265.17440    0.25318       0.46266   
3.10000       1.40070       0.50000       0.80000       0.00000       6219.20053    0.24010       0.45365   
3.10000       1.40380       0.50000       0.90000       0.00000       6178.05620    0.22830       0.44532   
3.10000       1.40869       0.50000       1.00000       0.00000       6114.01292    0.21761       0.43696   
3.10000       1.40933       0.50000       1.10000       0.00000       6105.71378    0.20788       0.43034   
3.10000       1.41181       0.50000       1.20000       0.00000       6073.50510    0.19898       0.42356   
3.10000       1.41411       0.50000       1.30000       0.00000       6043.95127    0.19081       0.41720   
3.10000       1.41623       0.50000       1.40000       0.00000       6016.78363    0.18328       0.41121   
3.10000       1.41821       0.50000       1.50000       0.00000       5991.71373    0.17633       0.40555   
3.10000       1.42004       0.50000       1.60000       0.00000       5968.53218    0.16988       0.40020   
3.10000       1.42175       0.50000       1.70000       0.00000       5947.06231    0.16389       0.39513   
3.10000       1.42333       0.50000       1.80000       0.00000       5927.25334    0.15831       0.39031   
3.10000       1.42482       0.50000       1.90000       0.00000       5908.71803    0.15309       0.38573   
3.10000       1.37512       0.60000       0.50000       0.00000       6572.83849    0.32263       0.50861   
3.10000       1.37996       0.60000       0.60000       0.00000       6503.78950    0.30499       0.49758   
3.10000       1.38432       0.60000       0.70000       0.00000       6442.64033    0.28917       0.48747   
3.10000       1.38824       0.60000       0.80000       0.00000       6388.11598    0.27492       0.47815   
3.10000       1.39181       0.60000       0.90000       0.00000       6339.18749    0.26200       0.46953   
3.10000       1.39707       0.60000       1.00000       0.00000       6267.83268    0.25024       0.46086   
3.10000       1.39816       0.60000       1.10000       0.00000       6253.17470    0.23950       0.45399   
3.10000       1.40102       0.60000       1.20000       0.00000       6214.93153    0.22963       0.44695   
3.10000       1.40367       0.60000       1.30000       0.00000       6179.82590    0.22055       0.44033   
3.10000       1.40612       0.60000       1.40000       0.00000       6147.50954    0.21216       0.43409   
3.10000       1.40841       0.60000       1.50000       0.00000       6117.67327    0.20438       0.42820   
3.10000       1.41053       0.60000       1.60000       0.00000       6090.03646    0.19716       0.42263   
3.10000       1.41252       0.60000       1.70000       0.00000       6064.42121    0.19043       0.41734   
3.10000       1.41436       0.60000       1.80000       0.00000       6040.74462    0.18414       0.41232   
3.10000       1.41609       0.60000       1.90000       0.00000       6018.58193    0.17825       0.40753   
3.10000       1.36237       0.70000       0.50000       0.00000       6758.99843    0.35720       0.53068   
3.10000       1.36767       0.70000       0.60000       0.00000       6680.70333    0.33861       0.51941   
3.10000       1.37245       0.70000       0.70000       0.00000       6611.14781    0.32186       0.50906   
3.10000       1.37679       0.70000       0.80000       0.00000       6548.94233    0.30668       0.49951   
3.10000       1.38073       0.70000       0.90000       0.00000       6492.98342    0.29288       0.49065   
3.10000       1.38629       0.70000       1.00000       0.00000       6415.14927    0.28026       0.48174   
3.10000       1.38778       0.70000       1.10000       0.00000       6394.53234    0.26869       0.47467   
3.10000       1.39096       0.70000       1.20000       0.00000       6350.77072    0.25803       0.46741   
3.10000       1.39391       0.70000       1.30000       0.00000       6310.54901    0.24819       0.46059   
3.10000       1.39665       0.70000       1.40000       0.00000       6273.47891    0.23907       0.45415   
3.10000       1.39920       0.70000       1.50000       0.00000       6239.21538    0.23059       0.44807   
3.10000       1.40158       0.70000       1.60000       0.00000       6207.44886    0.22270       0.44231   
3.10000       1.40381       0.70000       1.70000       0.00000       6177.98058    0.21533       0.43684   
3.10000       1.40588       0.70000       1.80000       0.00000       6150.67792    0.20843       0.43165   
3.10000       1.40784       0.70000       1.90000       0.00000       6125.11300    0.20196       0.42669   
3.10000       1.35075       0.80000       0.50000       0.00000       6934.97656    0.38841       0.55015   
3.10000       1.35641       0.80000       0.60000       0.00000       6848.49763    0.36912       0.53870   
3.10000       1.36154       0.80000       0.70000       0.00000       6771.43324    0.35167       0.52817   
3.10000       1.36620       0.80000       0.80000       0.00000       6702.32600    0.33578       0.51843   
3.10000       1.37046       0.80000       0.90000       0.00000       6640.00378    0.32128       0.50940   
3.10000       1.37628       0.80000       1.00000       0.00000       6556.20365    0.30797       0.50029   
3.10000       1.37810       0.80000       1.10000       0.00000       6530.21533    0.29572       0.49306   
3.10000       1.38155       0.80000       1.20000       0.00000       6481.38139    0.28441       0.48563   
3.10000       1.38476       0.80000       1.30000       0.00000       6436.44068    0.27393       0.47863   
3.10000       1.38775       0.80000       1.40000       0.00000       6394.97822    0.26420       0.47204   
3.10000       1.39053       0.80000       1.50000       0.00000       6356.61157    0.25513       0.46580   
3.10000       1.39314       0.80000       1.60000       0.00000       6321.00023    0.24667       0.45988   
3.10000       1.39558       0.80000       1.70000       0.00000       6287.92776    0.23875       0.45426   
3.10000       1.39786       0.80000       1.80000       0.00000       6257.23933    0.23132       0.44892   
3.10000       1.40000       0.80000       1.90000       0.00000       6228.48778    0.22434       0.44382   
3.10000       1.34010       0.90000       0.50000       0.00000       7101.66163    0.41672       0.56755   
3.10000       1.34605       0.90000       0.60000       0.00000       7007.92345    0.39695       0.55597   
3.10000       1.35145       0.90000       0.70000       0.00000       6924.14163    0.37896       0.54530   
3.10000       1.35639       0.90000       0.80000       0.00000       6848.81514    0.36254       0.53542   
3.10000       1.36092       0.90000       0.90000       0.00000       6780.73520    0.34748       0.52624   
3.10000       1.36694       0.90000       1.00000       0.00000       6691.51343    0.33362       0.51699   
3.10000       1.36905       0.90000       1.10000       0.00000       6660.59998    0.32083       0.50962   
3.10000       1.37273       0.90000       1.20000       0.00000       6607.09847    0.30898       0.50205   
3.10000       1.37616       0.90000       1.30000       0.00000       6557.81309    0.29797       0.49492   
3.10000       1.37936       0.90000       1.40000       0.00000       6512.28012    0.28772       0.48818   
3.10000       1.38236       0.90000       1.50000       0.00000       6470.10264    0.27815       0.48181   
3.10000       1.38516       0.90000       1.60000       0.00000       6430.91326    0.26920       0.47576   
3.10000       1.38778       0.90000       1.70000       0.00000       6394.46390    0.26081       0.47002   
3.10000       1.39024       0.90000       1.80000       0.00000       6360.61246    0.25292       0.46455   
3.10000       1.39256       0.90000       1.90000       0.00000       6328.86487    0.24550       0.45933   
3.10000       1.33029       1.00000       0.50000       0.00000       7259.84091    0.44254       0.58326   
3.10000       1.33647       1.00000       0.60000       0.00000       7159.63774    0.42242       0.57158   
