# Mass           Radius         Fe/Mg          Si/Mg          wt%+h2o        Bulk density   core_wt%       core_rad%      
2.40000       1.29861       0.50000       0.50000       0.00000       6041.97270    0.28414       0.48545   
2.40000       1.30241       0.50000       0.60000       0.00000       5989.35236    0.26777       0.47475   
2.40000       1.30579       0.50000       0.70000       0.00000       5942.86005    0.25318       0.46496   
2.40000       1.30884       0.50000       0.80000       0.00000       5901.48378    0.24010       0.45594   
2.40000       1.31159       0.50000       0.90000       0.00000       5864.42354    0.22830       0.44761   
2.40000       1.31409       0.50000       1.00000       0.00000       5831.06058    0.21761       0.43986   
2.40000       1.31640       0.50000       1.10000       0.00000       5800.37312    0.20788       0.43262   
2.40000       1.31856       0.50000       1.20000       0.00000       5771.90314    0.19898       0.42584   
2.40000       1.32056       0.50000       1.30000       0.00000       5745.76380    0.19081       0.41947   
2.40000       1.32241       0.50000       1.40000       0.00000       5721.69825    0.18328       0.41347   
2.40000       1.32410       0.50000       1.50000       0.00000       5699.73239    0.17633       0.40781   
2.40000       1.32567       0.50000       1.60000       0.00000       5679.52915    0.16988       0.40246   
2.40000       1.32712       0.50000       1.70000       0.00000       5660.88964    0.16389       0.39739   
2.40000       1.32849       0.50000       1.80000       0.00000       5643.41600    0.15831       0.39256   
2.40000       1.32978       0.50000       1.90000       0.00000       5626.99591    0.15309       0.38796   
2.40000       1.28555       0.60000       0.50000       0.00000       6228.03812    0.32263       0.51101   
2.40000       1.28988       0.60000       0.60000       0.00000       6165.51948    0.30499       0.49999   
2.40000       1.29377       0.60000       0.70000       0.00000       6110.09040    0.28917       0.48988   
2.40000       1.29728       0.60000       0.80000       0.00000       6060.61331    0.27492       0.48056   
2.40000       1.30047       0.60000       0.90000       0.00000       6016.17928    0.26200       0.47193   
2.40000       1.30337       0.60000       1.00000       0.00000       5976.07422    0.25024       0.46390   
2.40000       1.30607       0.60000       1.10000       0.00000       5939.13082    0.23950       0.45639   
2.40000       1.30858       0.60000       1.20000       0.00000       5904.96848    0.22963       0.44934   
2.40000       1.31091       0.60000       1.30000       0.00000       5873.58706    0.22055       0.44272   
2.40000       1.31307       0.60000       1.40000       0.00000       5844.66768    0.21216       0.43648   
2.40000       1.31506       0.60000       1.50000       0.00000       5818.15629    0.20438       0.43059   
2.40000       1.31690       0.60000       1.60000       0.00000       5793.78970    0.19716       0.42501   
2.40000       1.31861       0.60000       1.70000       0.00000       5771.25406    0.19043       0.41972   
2.40000       1.32022       0.60000       1.80000       0.00000       5750.13739    0.18414       0.41469   
2.40000       1.32174       0.60000       1.90000       0.00000       5730.32048    0.17825       0.40989   
2.40000       1.27369       0.70000       0.50000       0.00000       6403.59948    0.35720       0.53317   
2.40000       1.27846       0.70000       0.60000       0.00000       6332.31887    0.33861       0.52191   
2.40000       1.28275       0.70000       0.70000       0.00000       6268.93694    0.32186       0.51156   
2.40000       1.28664       0.70000       0.80000       0.00000       6212.20935    0.30668       0.50201   
2.40000       1.29019       0.70000       0.90000       0.00000       6161.12619    0.29288       0.49315   
2.40000       1.29343       0.70000       1.00000       0.00000       6114.91044    0.28026       0.48490   
2.40000       1.29646       0.70000       1.10000       0.00000       6072.19099    0.26869       0.47716   
2.40000       1.29927       0.70000       1.20000       0.00000       6032.80655    0.25803       0.46991   
