# Mass           Radius         Fe/Mg          Si/Mg          wt%+h2o        Bulk density   core_wt%       core_rad%      
1.20000       1.07236       0.50000       0.50000       0.00000       5364.96346    0.28414       0.49343   
1.20000       1.07512       0.50000       0.60000       0.00000       5323.79945    0.26777       0.48265   
1.20000       1.07757       0.50000       0.70000       0.00000       5287.56064    0.25318       0.47278   
1.20000       1.07976       0.50000       0.80000       0.00000       5255.41149    0.24010       0.46369   
1.20000       1.08174       0.50000       0.90000       0.00000       5226.69046    0.22830       0.45528   
1.20000       1.08352       0.50000       1.00000       0.00000       5200.88821    0.21761       0.44746   
1.20000       1.08538       0.50000       1.10000       0.00000       5174.15764    0.20788       0.44006   
1.20000       1.08699       0.50000       1.20000       0.00000       5151.29083    0.19898       0.43319   
1.20000       1.08846       0.50000       1.30000       0.00000       5130.35363    0.19081       0.42673   
1.20000       1.08983       0.50000       1.40000       0.00000       5111.10915    0.18328       0.42064   
1.20000       1.09109       0.50000       1.50000       0.00000       5093.38729    0.17633       0.41490   
1.20000       1.09223       0.50000       1.60000       0.00000       5077.53821    0.16988       0.40947   
1.20000       1.09327       0.50000       1.70000       0.00000       5063.03886    0.16389       0.40433   
1.20000       1.09426       0.50000       1.80000       0.00000       5049.29226    0.15831       0.39943   
1.20000       1.09519       0.50000       1.90000       0.00000       5036.43040    0.15309       0.39477   
1.20000       1.06189       0.60000       0.50000       0.00000       5525.18376    0.32263       0.51933   
1.20000       1.06510       0.60000       0.60000       0.00000       5475.38484    0.30499       0.50824   
1.20000       1.06797       0.60000       0.70000       0.00000       5431.36909    0.28917       0.49807   
1.20000       1.07055       0.60000       0.80000       0.00000       5392.19152    0.27492       0.48868   
1.20000       1.07289       0.60000       0.90000       0.00000       5357.09253    0.26200       0.47998   
1.20000       1.07500       0.60000       1.00000       0.00000       5325.47412    0.25024       0.47188   
1.20000       1.07717       0.60000       1.10000       0.00000       5293.35752    0.23950       0.46422   
1.20000       1.07907       0.60000       1.20000       0.00000       5265.57668    0.22963       0.45708   
1.20000       1.08081       0.60000       1.30000       0.00000       5240.11123    0.22055       0.45037   
1.20000       1.08243       0.60000       1.40000       0.00000       5216.68221    0.21216       0.44404   
1.20000       1.08392       0.60000       1.50000       0.00000       5195.07724    0.20438       0.43807   
1.20000       1.08528       0.60000       1.60000       0.00000       5175.65177    0.19716       0.43242   
1.20000       1.08653       0.60000       1.70000       0.00000       5157.78953    0.19043       0.42706   
1.20000       1.08772       0.60000       1.80000       0.00000       5140.90407    0.18414       0.42196   
1.20000       1.08884       0.60000       1.90000       0.00000       5125.10536    0.17825       0.41709   
1.20000       1.05238       0.70000       0.50000       0.00000       5676.34844    0.35720       0.54177   
1.20000       1.05596       0.70000       0.60000       0.00000       5618.89647    0.33861       0.53045   
1.20000       1.05917       0.70000       0.70000       0.00000       5567.95390    0.32186       0.52004   
1.20000       1.06207       0.70000       0.80000       0.00000       5522.46530    0.30668       0.51043   
1.20000       1.06470       0.70000       0.90000       0.00000       5481.60536    0.29288       0.50151   
1.20000       1.06710       0.70000       1.00000       0.00000       5444.69851    0.28026       0.49319   
1.20000       1.06953       0.70000       1.10000       0.00000       5407.66117    0.26869       0.48531   
1.20000       1.07167       0.70000       1.20000       0.00000       5375.37360    0.25803       0.47796   
1.20000       1.07364       0.70000       1.30000       0.00000       5345.73769    0.24819       0.47105   
1.20000       1.07548       0.70000       1.40000       0.00000       5318.44243    0.23907       0.46453   
1.20000       1.07718       0.70000       1.50000       0.00000       5293.23936    0.23059       0.45837   
1.20000       1.07873       0.70000       1.60000       0.00000       5270.48715    0.22270       0.45254   
1.20000       1.08017       0.70000       1.70000       0.00000       5249.49450    0.21533       0.44700   
1.20000       1.08153       0.70000       1.80000       0.00000       5229.66902    0.20843       0.44173   
1.20000       1.08281       0.70000       1.90000       0.00000       5211.11643    0.20196       0.43670   
1.20000       1.04370       0.80000       0.50000       0.00000       5819.24326    0.38841       0.56154   
1.20000       1.04757       0.80000       0.60000       0.00000       5755.01227    0.36912       0.55005   
1.20000       1.05106       0.80000       0.70000       0.00000       5697.87502    0.35167       0.53947   
1.20000       1.05422       0.80000       0.80000       0.00000       5646.71395    0.33578       0.52968   
1.20000       1.05710       0.80000       0.90000       0.00000       5600.63106    0.32128       0.52059   
1.20000       1.05974       0.80000       1.00000       0.00000       5558.91348    0.30797       0.51210   
1.20000       1.06239       0.80000       1.10000       0.00000       5517.38654    0.29572       0.50405   
1.20000       1.06474       0.80000       1.20000       0.00000       5480.95814    0.28441       0.49654   
1.20000       1.06692       0.80000       1.30000       0.00000       5447.47928    0.27393       0.48946   
1.20000       1.06894       0.80000       1.40000       0.00000       5416.60569    0.26420       0.48278   
1.20000       1.07083       0.80000       1.50000       0.00000       5388.06544    0.25513       0.47646   
1.20000       1.07254       0.80000       1.60000       0.00000       5362.22337    0.24667       0.47048   
1.20000       1.07414       0.80000       1.70000       0.00000       5338.29909    0.23875       0.46480   
1.20000       1.07566       0.80000       1.80000       0.00000       5315.72425    0.23132       0.45938   
1.20000       1.07709       0.80000       1.90000       0.00000       5294.58937    0.22434       0.45421   
