# Mass           Radius         Fe/Mg          Si/Mg          wt%+h2o        Bulk density   core_wt%       core_rad%      
2.00000       1.23577       0.50000       0.50000       0.00000       5842.84195    0.28414       0.48752   
2.00000       1.23925       0.50000       0.60000       0.00000       5793.82957    0.26777       0.47681   
2.00000       1.24235       0.50000       0.70000       0.00000       5750.54782    0.25318       0.46700   
2.00000       1.24513       0.50000       0.80000       0.00000       5712.04493    0.24010       0.45797   
2.00000       1.24765       0.50000       0.90000       0.00000       5677.56314    0.22830       0.44962   
2.00000       1.24993       0.50000       1.00000       0.00000       5646.50660    0.21761       0.44186   
2.00000       1.25211       0.50000       1.10000       0.00000       5617.05066    0.20788       0.43458   
2.00000       1.25410       0.50000       1.20000       0.00000       5590.33396    0.19898       0.42778   
2.00000       1.25594       0.50000       1.30000       0.00000       5565.82927    0.19081       0.42138   
2.00000       1.25764       0.50000       1.40000       0.00000       5543.28117    0.18328       0.41537   
2.00000       1.25922       0.50000       1.50000       0.00000       5522.53323    0.17633       0.40968   
2.00000       1.26065       0.50000       1.60000       0.00000       5503.74440    0.16988       0.40432   
2.00000       1.26197       0.50000       1.70000       0.00000       5486.42039    0.16389       0.39923   
2.00000       1.26323       0.50000       1.80000       0.00000       5470.08678    0.15831       0.39438   
2.00000       1.26441       0.50000       1.90000       0.00000       5454.78463    0.15309       0.38977   
2.00000       1.22343       0.60000       0.50000       0.00000       6021.48988    0.32263       0.51317   
2.00000       1.22742       0.60000       0.60000       0.00000       5962.94776    0.30499       0.50214   
2.00000       1.23100       0.60000       0.70000       0.00000       5911.07732    0.28917       0.49202   
2.00000       1.23423       0.60000       0.80000       0.00000       5864.81307    0.27492       0.48269   
2.00000       1.23715       0.60000       0.90000       0.00000       5823.27202    0.26200       0.47404   
2.00000       1.23982       0.60000       1.00000       0.00000       5785.77740    0.25024       0.46600   
2.00000       1.24237       0.60000       1.10000       0.00000       5750.17793    0.23950       0.45845   
2.00000       1.24470       0.60000       1.20000       0.00000       5717.99476    0.22963       0.45138   
2.00000       1.24685       0.60000       1.30000       0.00000       5688.45654    0.22055       0.44474   
2.00000       1.24885       0.60000       1.40000       0.00000       5661.24763    0.21216       0.43848   
2.00000       1.25070       0.60000       1.50000       0.00000       5636.15558    0.20438       0.43256   
2.00000       1.25239       0.60000       1.60000       0.00000       5613.34430    0.19716       0.42697   
2.00000       1.25396       0.60000       1.70000       0.00000       5592.27458    0.19043       0.42166   
2.00000       1.25544       0.60000       1.80000       0.00000       5572.45107    0.18414       0.41661   
2.00000       1.25684       0.60000       1.90000       0.00000       5553.87767    0.17825       0.41180   
2.00000       1.21222       0.70000       0.50000       0.00000       6190.06070    0.35720       0.53541   
2.00000       1.21662       0.70000       0.60000       0.00000       6123.08293    0.33861       0.52414   
2.00000       1.22059       0.70000       0.70000       0.00000       6063.55264    0.32186       0.51378   
2.00000       1.22419       0.70000       0.80000       0.00000       6010.30655    0.30668       0.50422   
2.00000       1.22746       0.70000       0.90000       0.00000       5962.39299    0.29288       0.49535   
2.00000       1.23045       0.70000       1.00000       0.00000       5919.04059    0.28026       0.48708   
2.00000       1.23331       0.70000       1.10000       0.00000       5877.84724    0.26869       0.47930   
2.00000       1.23593       0.70000       1.20000       0.00000       5840.65440    0.25803       0.47203   
2.00000       1.23835       0.70000       1.30000       0.00000       5806.47266    0.24819       0.46518   
2.00000       1.24059       0.70000       1.40000       0.00000       5774.95871    0.23907       0.45872   
2.00000       1.24269       0.70000       1.50000       0.00000       5745.84230    0.23059       0.45262   
2.00000       1.24461       0.70000       1.60000       0.00000       5719.28324    0.22270       0.44684   
2.00000       1.24639       0.70000       1.70000       0.00000       5694.73865    0.21533       0.44136   
2.00000       1.24808       0.70000       1.80000       0.00000       5671.63977    0.20843       0.43614   
2.00000       1.24967       0.70000       1.90000       0.00000       5649.99740    0.20196       0.43116   
2.00000       1.20199       0.80000       0.50000       0.00000       6349.45922    0.38841       0.55501   
