# Mass           Radius         Fe/Mg          Si/Mg          wt%+h2o        Bulk density   core_wt%       core_rad%      
1.50000       1.14146       0.50000       0.50000       0.00000       5560.57636    0.28414       0.49085   
1.50000       1.14450       0.50000       0.60000       0.00000       5516.38045    0.26777       0.48011   
1.50000       1.14721       0.50000       0.70000       0.00000       5477.41717    0.25318       0.47027   
1.50000       1.14963       0.50000       0.80000       0.00000       5442.81423    0.24010       0.46121   
1.50000       1.15182       0.50000       0.90000       0.00000       5411.87470    0.22830       0.45283   
1.50000       1.15380       0.50000       1.00000       0.00000       5384.04128    0.21761       0.44504   
1.50000       1.15581       0.50000       1.10000       0.00000       5356.04728    0.20788       0.43769   
1.50000       1.15756       0.50000       1.20000       0.00000       5331.69033    0.19898       0.43084   
1.50000       1.15918       0.50000       1.30000       0.00000       5309.36982    0.19081       0.42441   
1.50000       1.16068       0.50000       1.40000       0.00000       5288.84663    0.18328       0.41836   
1.50000       1.16207       0.50000       1.50000       0.00000       5269.92553    0.17633       0.41264   
1.50000       1.16333       0.50000       1.60000       0.00000       5252.84476    0.16988       0.40724   
1.50000       1.16448       0.50000       1.70000       0.00000       5237.26147    0.16389       0.40212   
1.50000       1.16557       0.50000       1.80000       0.00000       5222.50836    0.15831       0.39725   
1.50000       1.16660       0.50000       1.90000       0.00000       5208.70028    0.15309       0.39261   
1.50000       1.13020       0.60000       0.50000       0.00000       5728.44138    0.32263       0.51665   
1.50000       1.13372       0.60000       0.60000       0.00000       5675.22654    0.30499       0.50558   
1.50000       1.13687       0.60000       0.70000       0.00000       5628.14608    0.28917       0.49544   
1.50000       1.13971       0.60000       0.80000       0.00000       5586.20717    0.27492       0.48608   
1.50000       1.14228       0.60000       0.90000       0.00000       5548.60643    0.26200       0.47741   
1.50000       1.14461       0.60000       1.00000       0.00000       5514.69299    0.25024       0.46934   
1.50000       1.14695       0.60000       1.10000       0.00000       5481.02557    0.23950       0.46171   
1.50000       1.14902       0.60000       1.20000       0.00000       5451.52622    0.22963       0.45461   
1.50000       1.15093       0.60000       1.30000       0.00000       5424.46467    0.22055       0.44793   
1.50000       1.15269       0.60000       1.40000       0.00000       5399.55552    0.21216       0.44163   
1.50000       1.15433       0.60000       1.50000       0.00000       5376.57124    0.20438       0.43568   
1.50000       1.15583       0.60000       1.60000       0.00000       5355.70548    0.19716       0.43006   
1.50000       1.15721       0.60000       1.70000       0.00000       5336.60513    0.19043       0.42473   
1.50000       1.15851       0.60000       1.80000       0.00000       5318.56747    0.18414       0.41965   
1.50000       1.15974       0.60000       1.90000       0.00000       5301.68164    0.17825       0.41481   
1.50000       1.11997       0.70000       0.50000       0.00000       5886.84115    0.35720       0.53899   
1.50000       1.12388       0.70000       0.60000       0.00000       5825.64467    0.33861       0.52770   
1.50000       1.12739       0.70000       0.70000       0.00000       5771.32083    0.32186       0.51732   
1.50000       1.13057       0.70000       0.80000       0.00000       5722.78736    0.30668       0.50773   
1.50000       1.13346       0.70000       0.90000       0.00000       5679.15899    0.29288       0.49883   
1.50000       1.13609       0.70000       1.00000       0.00000       5639.72281    0.28026       0.49055   
1.50000       1.13871       0.70000       1.10000       0.00000       5600.88316    0.26869       0.48270   
1.50000       1.14104       0.70000       1.20000       0.00000       5566.66698    0.25803       0.47539   
1.50000       1.14320       0.70000       1.30000       0.00000       5535.23820    0.24819       0.46851   
1.50000       1.14520       0.70000       1.40000       0.00000       5506.27954    0.23907       0.46202   
1.50000       1.14706       0.70000       1.50000       0.00000       5479.52164    0.23059       0.45588   
1.50000       1.14876       0.70000       1.60000       0.00000       5455.14307    0.22270       0.45007   
1.50000       1.15034       0.70000       1.70000       0.00000       5432.76627    0.21533       0.44456   
1.50000       1.15183       0.70000       1.80000       0.00000       5411.65978    0.20843       0.43931   
1.50000       1.15324       0.70000       1.90000       0.00000       5391.88727    0.20196       0.43431   
1.50000       1.11063       0.80000       0.50000       0.00000       6036.61107    0.38841       0.55869   
1.50000       1.11485       0.80000       0.60000       0.00000       5968.32310    0.36912       0.54723   
1.50000       1.11866       0.80000       0.70000       0.00000       5907.53224    0.35167       0.53667   
1.50000       1.12212       0.80000       0.80000       0.00000       5853.06754    0.33578       0.52691   
1.50000       1.12527       0.80000       0.90000       0.00000       5803.98288    0.32128       0.51783   
1.50000       1.12816       0.80000       1.00000       0.00000       5759.51470    0.30797       0.50937   
1.50000       1.13102       0.80000       1.10000       0.00000       5715.95511    0.29572       0.50136   
1.50000       1.13357       0.80000       1.20000       0.00000       5677.40301    0.28441       0.49388   
1.50000       1.13594       0.80000       1.30000       0.00000       5641.95243    0.27393       0.48683   
1.50000       1.13815       0.80000       1.40000       0.00000       5609.24280    0.26420       0.48018   
1.50000       1.14020       0.80000       1.50000       0.00000       5578.98825    0.25513       0.47388   
1.50000       1.14209       0.80000       1.60000       0.00000       5551.34012    0.24667       0.46793   
1.50000       1.14384       0.80000       1.70000       0.00000       5525.89936    0.23875       0.46227   
1.50000       1.14550       0.80000       1.80000       0.00000       5501.91378    0.23132       0.45687   
1.50000       1.14706       0.80000       1.90000       0.00000       5479.43689    0.22434       0.45173   
1.50000       1.10206       0.90000       0.50000       0.00000       6178.46990    0.41672       0.57628   
1.50000       1.10653       0.90000       0.60000       0.00000       6103.89339    0.39695       0.56469   
1.50000       1.11059       0.90000       0.70000       0.00000       6037.31090    0.37896       0.55401   
1.50000       1.11428       0.90000       0.80000       0.00000       5977.49112    0.36254       0.54411   
1.50000       1.11766       0.90000       0.90000       0.00000       5923.46703    0.34748       0.53490   
1.50000       1.12076       0.90000       1.00000       0.00000       5874.42084    0.33362       0.52630   
1.50000       1.12382       0.90000       1.10000       0.00000       5826.54107    0.32083       0.51815   
1.50000       1.12657       0.90000       1.20000       0.00000       5784.00472    0.30898       0.51053   
1.50000       1.12912       0.90000       1.30000       0.00000       5744.83989    0.29797       0.50335   
1.50000       1.13150       0.90000       1.40000       0.00000       5708.66028    0.28772       0.49656   
1.50000       1.13372       0.90000       1.50000       0.00000       5675.15141    0.27815       0.49014   
1.50000       1.13578       0.90000       1.60000       0.00000       5644.46201    0.26920       0.48405   
1.50000       1.13768       0.90000       1.70000       0.00000       5616.16033    0.26081       0.47827   
1.50000       1.13949       0.90000       1.80000       0.00000       5589.48423    0.25292       0.47276   
1.50000       1.14119       0.90000       1.90000       0.00000       5564.46426    0.24550       0.46749   
1.50000       1.09417       1.00000       0.50000       0.00000       6313.07319    0.44254       0.59214   
1.50000       1.09885       1.00000       0.60000       0.00000       6232.89893    0.42242       0.58047   
1.50000       1.10310       1.00000       0.70000       0.00000       6161.12358    0.40406       0.56969   
1.50000       1.10698       1.00000       0.80000       0.00000       6096.47950    0.38722       0.55969   
1.50000       1.11055       1.00000       0.90000       0.00000       6037.96975    0.37174       0.55038   
1.50000       1.11383       1.00000       1.00000       0.00000       5984.74072    0.35744       0.54167   
1.50000       1.11706       1.00000       1.10000       0.00000       5932.91439    0.34420       0.53341   
1.50000       1.11998       1.00000       1.20000       0.00000       5886.71230    0.33191       0.52568   
1.50000       1.12269       1.00000       1.30000       0.00000       5844.11440    0.32047       0.51838   
1.50000       1.12523       1.00000       1.40000       0.00000       5804.72046    0.30979       0.51149   
1.50000       1.12760       1.00000       1.50000       0.00000       5768.18941    0.29979       0.50496   
1.50000       1.12979       1.00000       1.60000       0.00000       5734.66975    0.29042       0.49876   
1.50000       1.13183       1.00000       1.70000       0.00000       5703.69112    0.28162       0.49288   
1.50000       1.13377       1.00000       1.80000       0.00000       5674.48819    0.27334       0.48726   
1.50000       1.13560       1.00000       1.90000       0.00000       5647.07288    0.26553       0.48189   
1.50000       1.08688       1.10000       0.50000       0.00000       6440.97736    0.46616       0.60656   
1.50000       1.09171       1.10000       0.60000       0.00000       6355.82723    0.44583       0.59484   
1.50000       1.09613       1.10000       0.70000       0.00000       6279.39221    0.42720       0.58400   
1.50000       1.10017       1.10000       0.80000       0.00000       6210.40437    0.41007       0.57393   
1.50000       1.10389       1.10000       0.90000       0.00000       6147.81356    0.39425       0.56453   
1.50000       1.10733       1.10000       1.00000       0.00000       6090.77209    0.37962       0.55574   
1.50000       1.11071       1.10000       1.10000       0.00000       6035.32265    0.36602       0.54739   
1.50000       1.11377       1.10000       1.20000       0.00000       5985.74680    0.35337       0.53957   
1.50000       1.11662       1.10000       1.30000       0.00000       5939.97928    0.34157       0.53218   
1.50000       1.11929       1.10000       1.40000       0.00000       5897.59668    0.33052       0.52520   
1.50000       1.12179       1.10000       1.50000       0.00000       5858.25681    0.32017       0.51857   
1.50000       1.12410       1.10000       1.60000       0.00000       5822.09735    0.31045       0.51229   
1.50000       1.12627       1.10000       1.70000       0.00000       5788.62031    0.30130       0.50632   
1.50000       1.12832       1.10000       1.80000       0.00000       5757.04681    0.29268       0.50061   
1.50000       1.13027       1.10000       1.90000       0.00000       5727.38971    0.28453       0.49516   
1.50000       1.08012       1.20000       0.50000       0.00000       6562.70349    0.48786       0.61977   
1.50000       1.08508       1.20000       0.60000       0.00000       6473.11308    0.46742       0.60802   
1.50000       1.08962       1.20000       0.70000       0.00000       6392.50710    0.44862       0.59714   
1.50000       1.09380       1.20000       0.80000       0.00000       6319.58456    0.43127       0.58701   
1.50000       1.09765       1.20000       0.90000       0.00000       6253.29694    0.41521       0.57756   
1.50000       1.10121       1.20000       1.00000       0.00000       6192.76605    0.40031       0.56870   
1.50000       1.10472       1.20000       1.10000       0.00000       6133.99870    0.38644       0.56028   
1.50000       1.10790       1.20000       1.20000       0.00000       6081.31142    0.37350       0.55239   
1.50000       1.11087       1.20000       1.30000       0.00000       6032.61453    0.36140       0.54493   
1.50000       1.11366       1.20000       1.40000       0.00000       5987.46315    0.35005       0.53787   
1.50000       1.11627       1.20000       1.50000       0.00000       5945.50336    0.33940       0.53117   
1.50000       1.11870       1.20000       1.60000       0.00000       5906.88690    0.32938       0.52481   
1.50000       1.12097       1.20000       1.70000       0.00000       5871.06591    0.31993       0.51876   
1.50000       1.12313       1.20000       1.80000       0.00000       5837.26908    0.31101       0.51298   
1.50000       1.12518       1.20000       1.90000       0.00000       5805.49621    0.30257       0.50745   
1.50000       1.07383       1.30000       0.50000       0.00000       6678.69173    0.50787       0.63193   
1.50000       1.07889       1.30000       0.60000       0.00000       6585.16321    0.48738       0.62017   
1.50000       1.08354       1.30000       0.70000       0.00000       6500.80374    0.46849       0.60927   
1.50000       1.08782       1.30000       0.80000       0.00000       6424.32917    0.45100       0.59911   
1.50000       1.09178       1.30000       0.90000       0.00000       6354.67004    0.43477       0.58962   
1.50000       1.09545       1.30000       1.00000       0.00000       6290.96660    0.41967       0.58071   
1.50000       1.09907       1.30000       1.10000       0.00000       6229.14913    0.40558       0.57223   
1.50000       1.10235       1.30000       1.20000       0.00000       6173.59537    0.39241       0.56428   
1.50000       1.10543       1.30000       1.30000       0.00000       6122.18289    0.38007       0.55677   
1.50000       1.10832       1.30000       1.40000       0.00000       6074.46293    0.36848       0.54964   
1.50000       1.11103       1.30000       1.50000       0.00000       6030.06953    0.35757       0.54288   
1.50000       1.11355       1.30000       1.60000       0.00000       5989.15789    0.34729       0.53646   
1.50000       1.11592       1.30000       1.70000       0.00000       5951.14445    0.33759       0.53034   
1.50000       1.11817       1.30000       1.80000       0.00000       5915.25501    0.32841       0.52450   
1.50000       1.12031       1.30000       1.90000       0.00000       5881.50147    0.31972       0.51891   
1.50000       1.06796       1.40000       0.50000       0.00000       6789.36514    0.52637       0.64318   
1.50000       1.07310       1.40000       0.60000       0.00000       6692.31530    0.50591       0.63143   
1.50000       1.07783       1.40000       0.70000       0.00000       6604.59813    0.48698       0.62052   
1.50000       1.08220       1.40000       0.80000       0.00000       6524.91038    0.46941       0.61035   
1.50000       1.08625       1.40000       0.90000       0.00000       6452.19420    0.45306       0.60083   
1.50000       1.09002       1.40000       1.00000       0.00000       6385.57837    0.43782       0.59189   
1.50000       1.09372       1.40000       1.10000       0.00000       6320.96682    0.42357       0.58337   
1.50000       1.09710       1.40000       1.20000       0.00000       6262.77189    0.41021       0.57537   
1.50000       1.10026       1.40000       1.30000       0.00000       6208.84885    0.39768       0.56781   
1.50000       1.10324       1.40000       1.40000       0.00000       6158.74178    0.38588       0.56064   
1.50000       1.10604       1.40000       1.50000       0.00000       6112.07874    0.37477       0.55382   
1.50000       1.10865       1.40000       1.60000       0.00000       6069.02585    0.36428       0.54735   
1.50000       1.11110       1.40000       1.70000       0.00000       6028.95747    0.35436       0.54118   
1.50000       1.11343       1.40000       1.80000       0.00000       5991.11303    0.34496       0.53528   
1.50000       1.11565       1.40000       1.90000       0.00000       5955.48732    0.33605       0.52963   
1.50000       1.06248       1.50000       0.50000       0.00000       6895.08786    0.54354       0.65363   
1.50000       1.06767       1.50000       0.60000       0.00000       6794.91353    0.52314       0.64191   
1.50000       1.07247       1.50000       0.70000       0.00000       6704.17366    0.50422       0.63101   
1.50000       1.07691       1.50000       0.80000       0.00000       6621.58546    0.48662       0.62083   
1.50000       1.08103       1.50000       0.90000       0.00000       6546.09779    0.47021       0.61129   
1.50000       1.08487       1.50000       1.00000       0.00000       6476.81612    0.45487       0.60233   
1.50000       1.08865       1.50000       1.10000       0.00000       6409.63208    0.44049       0.59378   
1.50000       1.09211       1.50000       1.20000       0.00000       6349.00042    0.42700       0.58575   
1.50000       1.09535       1.50000       1.30000       0.00000       6292.75276    0.41431       0.57815   
1.50000       1.09840       1.50000       1.40000       0.00000       6240.42846    0.40236       0.57094   
1.50000       1.10128       1.50000       1.50000       0.00000       6191.65032    0.39107       0.56408   
1.50000       1.10396       1.50000       1.60000       0.00000       6146.60241    0.38040       0.55756   
1.50000       1.10649       1.50000       1.70000       0.00000       6104.60950    0.37030       0.55135   
1.50000       1.10890       1.50000       1.80000       0.00000       6064.92431    0.36071       0.54540   
1.50000       1.11119       1.50000       1.90000       0.00000       6027.53295    0.35162       0.53971   
1.50000       1.05734       1.60000       0.50000       0.00000       6996.19316    0.55950       0.66338   
