# Mass           Radius         Fe/Mg          Si/Mg          wt%+h2o        Bulk density   core_wt%       core_rad%      
3.90000       1.47580       0.50000       0.50000       0.00000       6689.39938    0.28414       0.48077   
3.90000       1.48059       0.50000       0.60000       0.00000       6624.77615    0.26777       0.47007   
3.90000       1.48486       0.50000       0.70000       0.00000       6567.74975    0.25318       0.46028   
3.90000       1.48870       0.50000       0.80000       0.00000       6517.05079    0.24010       0.45128   
3.90000       1.49217       0.50000       0.90000       0.00000       6471.67170    0.22830       0.44296   
3.90000       1.49741       0.50000       1.00000       0.00000       6403.93909    0.21761       0.43464   
3.90000       1.49831       0.50000       1.10000       0.00000       6392.44182    0.20788       0.42801   
3.90000       1.50106       0.50000       1.20000       0.00000       6357.32915    0.19898       0.42125   
3.90000       1.50361       0.50000       1.30000       0.00000       6325.14003    0.19081       0.41491   
3.90000       1.50596       0.50000       1.40000       0.00000       6295.53411    0.18328       0.40893   
3.90000       1.50814       0.50000       1.50000       0.00000       6268.23295    0.17633       0.40329   
3.90000       1.51017       0.50000       1.60000       0.00000       6242.98624    0.16988       0.39796   
3.90000       1.51207       0.50000       1.70000       0.00000       6219.57648    0.16389       0.39291   
3.90000       1.51382       0.50000       1.80000       0.00000       6197.92930    0.15831       0.38811   
3.90000       1.51548       0.50000       1.90000       0.00000       6177.63182    0.15309       0.38354   
3.90000       1.46079       0.60000       0.50000       0.00000       6897.73133    0.32263       0.50612   
3.90000       1.46617       0.60000       0.60000       0.00000       6822.12826    0.30499       0.49509   
3.90000       1.47100       0.60000       0.70000       0.00000       6755.19039    0.28917       0.48498   
3.90000       1.47536       0.60000       0.80000       0.00000       6695.48835    0.27492       0.47567   
3.90000       1.47931       0.60000       0.90000       0.00000       6641.92432    0.26200       0.46706   
3.90000       1.48490       0.60000       1.00000       0.00000       6567.15696    0.25024       0.45844   
3.90000       1.48633       0.60000       1.10000       0.00000       6548.25308    0.23950       0.45155   
3.90000       1.48948       0.60000       1.20000       0.00000       6506.77451    0.22963       0.44452   
3.90000       1.49240       0.60000       1.30000       0.00000       6468.70876    0.22055       0.43792   
3.90000       1.49511       0.60000       1.40000       0.00000       6433.65522    0.21216       0.43170   
3.90000       1.49762       0.60000       1.50000       0.00000       6401.30648    0.20438       0.42583   
3.90000       1.49996       0.60000       1.60000       0.00000       6371.37493    0.19716       0.42027   
3.90000       1.50215       0.60000       1.70000       0.00000       6343.58531    0.19043       0.41500   
3.90000       1.50418       0.60000       1.80000       0.00000       6317.87344    0.18414       0.40999   
3.90000       1.50610       0.60000       1.90000       0.00000       6293.74235    0.17825       0.40522   
3.90000       1.44719       0.70000       0.50000       0.00000       7094.15358    0.35720       0.52810   
3.90000       1.45303       0.70000       0.60000       0.00000       7008.86428    0.33861       0.51683   
3.90000       1.45831       0.70000       0.70000       0.00000       6933.09931    0.32186       0.50648   
3.90000       1.46309       0.70000       0.80000       0.00000       6865.33712    0.30668       0.49693   
3.90000       1.46744       0.70000       0.90000       0.00000       6804.38060    0.29288       0.48809   
3.90000       1.47333       0.70000       1.00000       0.00000       6723.16365    0.28026       0.47924   
3.90000       1.47520       0.70000       1.10000       0.00000       6697.56757    0.26869       0.47213   
3.90000       1.47869       0.70000       1.20000       0.00000       6650.24243    0.25803       0.46489   
3.90000       1.48193       0.70000       1.30000       0.00000       6606.76170    0.24819       0.45808   
3.90000       1.48494       0.70000       1.40000       0.00000       6566.69274    0.23907       0.45166   
3.90000       1.48774       0.70000       1.50000       0.00000       6529.66932    0.23059       0.44560   
3.90000       1.49035       0.70000       1.60000       0.00000       6495.38212    0.22270       0.43986   
3.90000       1.49280       0.70000       1.70000       0.00000       6463.51524    0.21533       0.43440   
3.90000       1.49508       0.70000       1.80000       0.00000       6433.97362    0.20843       0.42922   
3.90000       1.49723       0.70000       1.90000       0.00000       6406.27205    0.20196       0.42428   
3.90000       1.43478       0.80000       0.50000       0.00000       7279.81643    0.38841       0.54750   
3.90000       1.44100       0.80000       0.60000       0.00000       7185.94237    0.36912       0.53605   
3.90000       1.44663       0.80000       0.70000       0.00000       7102.28640    0.35167       0.52551   
3.90000       1.45176       0.80000       0.80000       0.00000       7027.27993    0.33578       0.51578   
3.90000       1.45645       0.80000       0.90000       0.00000       6959.63318    0.32128       0.50675   
3.90000       1.46259       0.80000       1.00000       0.00000       6872.37130    0.30797       0.49772   
3.90000       1.46483       0.80000       1.10000       0.00000       6840.85075    0.29572       0.49043   
3.90000       1.46861       0.80000       1.20000       0.00000       6788.15535    0.28441       0.48302   
3.90000       1.47212       0.80000       1.30000       0.00000       6739.68567    0.27393       0.47604   
3.90000       1.47539       0.80000       1.40000       0.00000       6694.97813    0.26420       0.46946   
3.90000       1.47844       0.80000       1.50000       0.00000       6653.61342    0.25513       0.46324   
3.90000       1.48130       0.80000       1.60000       0.00000       6615.24880    0.24667       0.45734   
3.90000       1.48397       0.80000       1.70000       0.00000       6579.59307    0.23875       0.45174   
3.90000       1.48647       0.80000       1.80000       0.00000       6546.47456    0.23132       0.44641   
3.90000       1.48882       0.80000       1.90000       0.00000       6515.41868    0.22434       0.44133   
3.90000       1.42341       0.90000       0.50000       0.00000       7455.63371    0.41672       0.56484   
3.90000       1.42993       0.90000       0.60000       0.00000       7354.14931    0.39695       0.55325   
3.90000       1.43585       0.90000       0.70000       0.00000       7263.45354    0.37896       0.54258   
3.90000       1.44127       0.90000       0.80000       0.00000       7181.92083    0.36254       0.53271   
3.90000       1.44623       0.90000       0.90000       0.00000       7108.22820    0.34748       0.52353   
3.90000       1.45259       0.90000       1.00000       0.00000       7015.31896    0.33362       0.51435   
3.90000       1.45514       0.90000       1.10000       0.00000       6978.50394    0.32083       0.50692   
3.90000       1.45916       0.90000       1.20000       0.00000       6920.88015    0.30898       0.49937   
3.90000       1.46291       0.90000       1.30000       0.00000       6867.80551    0.29797       0.49225   
3.90000       1.46641       0.90000       1.40000       0.00000       6818.78230    0.28772       0.48553   
3.90000       1.46968       0.90000       1.50000       0.00000       6773.38827    0.27815       0.47917   
3.90000       1.47274       0.90000       1.60000       0.00000       6731.24468    0.26920       0.47314   
3.90000       1.47561       0.90000       1.70000       0.00000       6692.02850    0.26081       0.46741   
