# Mass           Radius         Fe/Mg          Si/Mg          wt%+h2o        Bulk density   core_wt%       core_rad%      
2.80000       1.35194       0.50000       0.50000       0.00000       6247.26192    0.28414       0.48426   
2.80000       1.35602       0.50000       0.60000       0.00000       6191.07227    0.26777       0.47355   
2.80000       1.35966       0.50000       0.70000       0.00000       6141.47778    0.25318       0.46376   
2.80000       1.36293       0.50000       0.80000       0.00000       6097.38156    0.24010       0.45474   
2.80000       1.36589       0.50000       0.90000       0.00000       6057.92603    0.22830       0.44641   
2.80000       1.37066       0.50000       1.00000       0.00000       5994.84909    0.21761       0.43801   
2.80000       1.37115       0.50000       1.10000       0.00000       5988.42852    0.20788       0.43141   
2.80000       1.37352       0.50000       1.20000       0.00000       5957.43766    0.19898       0.42462   
2.80000       1.37571       0.50000       1.30000       0.00000       5929.01763    0.19081       0.41825   
2.80000       1.37774       0.50000       1.40000       0.00000       5902.87904    0.18328       0.41224   
2.80000       1.37962       0.50000       1.50000       0.00000       5878.78555    0.17633       0.40658   
2.80000       1.38137       0.50000       1.60000       0.00000       5856.48140    0.16988       0.40122   
2.80000       1.38300       0.50000       1.70000       0.00000       5835.84868    0.16389       0.39614   
2.80000       1.38450       0.50000       1.80000       0.00000       5816.81643    0.15831       0.39132   
2.80000       1.38592       0.50000       1.90000       0.00000       5799.00280    0.15309       0.38672   
2.80000       1.33832       0.60000       0.50000       0.00000       6440.03790    0.32263       0.50976   
2.80000       1.34295       0.60000       0.60000       0.00000       6373.60203    0.30499       0.49873   
2.80000       1.34711       0.60000       0.70000       0.00000       6314.77841    0.28917       0.48862   
2.80000       1.35086       0.60000       0.80000       0.00000       6262.32053    0.27492       0.47930   
2.80000       1.35426       0.60000       0.90000       0.00000       6215.24687    0.26200       0.47067   
2.80000       1.35939       0.60000       1.00000       0.00000       6145.13872    0.25024       0.46196   
2.80000       1.36033       0.60000       1.10000       0.00000       6132.38959    0.23950       0.45511   
2.80000       1.36307       0.60000       1.20000       0.00000       6095.50171    0.22963       0.44806   
2.80000       1.36561       0.60000       1.30000       0.00000       6061.65032    0.22055       0.44143   
2.80000       1.36795       0.60000       1.40000       0.00000       6030.49059    0.21216       0.43519   
2.80000       1.37014       0.60000       1.50000       0.00000       6001.72749    0.20438       0.42929   
2.80000       1.37217       0.60000       1.60000       0.00000       5975.08706    0.19716       0.42371   
2.80000       1.37406       0.60000       1.70000       0.00000       5950.40462    0.19043       0.41841   
2.80000       1.37582       0.60000       1.80000       0.00000       5927.59421    0.18414       0.41338   
2.80000       1.37748       0.60000       1.90000       0.00000       5906.22604    0.17825       0.40858   
2.80000       1.32595       0.70000       0.50000       0.00000       6621.88003    0.35720       0.53187   
2.80000       1.33103       0.70000       0.60000       0.00000       6546.40293    0.33861       0.52060   
2.80000       1.33561       0.70000       0.70000       0.00000       6479.34583    0.32186       0.51025   
2.80000       1.33975       0.70000       0.80000       0.00000       6419.37603    0.30668       0.50069   
2.80000       1.34353       0.70000       0.90000       0.00000       6365.42518    0.29288       0.49183   
2.80000       1.34896       0.70000       1.00000       0.00000       6288.87474    0.28026       0.48289   
2.80000       1.35028       0.70000       1.10000       0.00000       6270.40874    0.26869       0.47583   
2.80000       1.35333       0.70000       1.20000       0.00000       6228.12274    0.25803       0.46857   
2.80000       1.35615       0.70000       1.30000       0.00000       6189.26884    0.24819       0.46174   
2.80000       1.35878       0.70000       1.40000       0.00000       6153.47009    0.23907       0.45529   
2.80000       1.36122       0.70000       1.50000       0.00000       6120.37507    0.23059       0.44920   
2.80000       1.36351       0.70000       1.60000       0.00000       6089.70020    0.22270       0.44344   
2.80000       1.36564       0.70000       1.70000       0.00000       6061.25018    0.21533       0.43796   
2.80000       1.36762       0.70000       1.80000       0.00000       6034.90396    0.20843       0.43275   
2.80000       1.36949       0.70000       1.90000       0.00000       6010.21095    0.20196       0.42779   
2.80000       1.31467       0.80000       0.50000       0.00000       6793.79965    0.38841       0.55138   
2.80000       1.32010       0.80000       0.60000       0.00000       6710.30487    0.36912       0.53992   
2.80000       1.32502       0.80000       0.70000       0.00000       6635.89441    0.35167       0.52939   
2.80000       1.32949       0.80000       0.80000       0.00000       6569.17161    0.33578       0.51965   
2.80000       1.33357       0.80000       0.90000       0.00000       6508.99942    0.32128       0.51061   
2.80000       1.33924       0.80000       1.00000       0.00000       6426.70153    0.30797       0.50148   
2.80000       1.34090       0.80000       1.10000       0.00000       6402.89277    0.29572       0.49426   
2.80000       1.34422       0.80000       1.20000       0.00000       6355.65289    0.28441       0.48682   
2.80000       1.34729       0.80000       1.30000       0.00000       6312.18745    0.27393       0.47982   
2.80000       1.35016       0.80000       1.40000       0.00000       6272.09311    0.26420       0.47322   
2.80000       1.35283       0.80000       1.50000       0.00000       6234.98952    0.25513       0.46697   
2.80000       1.35533       0.80000       1.60000       0.00000       6200.55152    0.24667       0.46104   
2.80000       1.35767       0.80000       1.70000       0.00000       6168.58814    0.23875       0.45542   
2.80000       1.35985       0.80000       1.80000       0.00000       6138.93466    0.23132       0.45007   
2.80000       1.36191       0.80000       1.90000       0.00000       6111.12391    0.22434       0.44496   
2.80000       1.30433       0.90000       0.50000       0.00000       6956.65604    0.41672       0.56880   
2.80000       1.31005       0.90000       0.60000       0.00000       6866.03713    0.39695       0.55722   
2.80000       1.31524       0.90000       0.70000       0.00000       6785.04885    0.37896       0.54655   
2.80000       1.31998       0.90000       0.80000       0.00000       6712.24518    0.36254       0.53667   
2.80000       1.32432       0.90000       0.90000       0.00000       6646.43386    0.34748       0.52749   
2.80000       1.33018       0.90000       1.00000       0.00000       6558.96982    0.33362       0.51821   
2.80000       1.33213       0.90000       1.10000       0.00000       6530.20154    0.32083       0.51085   
2.80000       1.33567       0.90000       1.20000       0.00000       6478.40612    0.30898       0.50328   
2.80000       1.33897       0.90000       1.30000       0.00000       6430.69572    0.29797       0.49614   
2.80000       1.34204       0.90000       1.40000       0.00000       6386.62010    0.28772       0.48939   
2.80000       1.34491       0.90000       1.50000       0.00000       6345.78439    0.27815       0.48301   
2.80000       1.34760       0.90000       1.60000       0.00000       6307.85532    0.26920       0.47696   
2.80000       1.35012       0.90000       1.70000       0.00000       6272.60842    0.26081       0.47121   
2.80000       1.35248       0.90000       1.80000       0.00000       6239.84540    0.25292       0.46573   
2.80000       1.35471       0.90000       1.90000       0.00000       6209.11753    0.24550       0.46051   
2.80000       1.29482       1.00000       0.50000       0.00000       7111.19249    0.44254       0.58454   
2.80000       1.30075       1.00000       0.60000       0.00000       7014.24493    0.42242       0.57286   
2.80000       1.30617       1.00000       0.70000       0.00000       6927.37362    0.40406       0.56209   
2.80000       1.31113       1.00000       0.80000       0.00000       6849.07863    0.38722       0.55211   
2.80000       1.31568       1.00000       0.90000       0.00000       6778.15628    0.37174       0.54281   
2.80000       1.32171       1.00000       1.00000       0.00000       6685.86684    0.35744       0.53341   
2.80000       1.32390       1.00000       1.10000       0.00000       6652.67253    0.34420       0.52595   
2.80000       1.32764       1.00000       1.20000       0.00000       6596.68098    0.33191       0.51825   
2.80000       1.33112       1.00000       1.30000       0.00000       6545.04684    0.32047       0.51100   
2.80000       1.33438       1.00000       1.40000       0.00000       6497.28008    0.30979       0.50414   
2.80000       1.33742       1.00000       1.50000       0.00000       6452.99056    0.29979       0.49765   
2.80000       1.34028       1.00000       1.60000       0.00000       6411.79465    0.29042       0.49149   
2.80000       1.34296       1.00000       1.70000       0.00000       6373.47120    0.28162       0.48563   
2.80000       1.34548       1.00000       1.80000       0.00000       6337.80195    0.27334       0.48005   
2.80000       1.34785       1.00000       1.90000       0.00000       6304.30993    0.26553       0.47472   
2.80000       1.28602       1.10000       0.50000       0.00000       7258.08723    0.46616       0.59885   
2.80000       1.29214       1.10000       0.60000       0.00000       7155.50706    0.44583       0.58712   
2.80000       1.29773       1.10000       0.70000       0.00000       7063.35115    0.42720       0.57628   
2.80000       1.30287       1.10000       0.80000       0.00000       6980.10489    0.41007       0.56621   
2.80000       1.30761       1.10000       0.90000       0.00000       6904.53689    0.39425       0.55683   
2.80000       1.31377       1.10000       1.00000       0.00000       6807.78243    0.37962       0.54733   
2.80000       1.31617       1.10000       1.10000       0.00000       6770.59124    0.36602       0.53978   
2.80000       1.32008       1.10000       1.20000       0.00000       6710.73828    0.35337       0.53200   
2.80000       1.32372       1.10000       1.30000       0.00000       6655.47108    0.34157       0.52465   
2.80000       1.32713       1.10000       1.40000       0.00000       6604.28937    0.33052       0.51770   
2.80000       1.33033       1.10000       1.50000       0.00000       6556.76625    0.32017       0.51111   
2.80000       1.33333       1.10000       1.60000       0.00000       6512.53356    0.31045       0.50485   
2.80000       1.33616       1.10000       1.70000       0.00000       6471.34463    0.30130       0.49890   
2.80000       1.33881       1.10000       1.80000       0.00000       6432.94930    0.29268       0.49323   
2.80000       1.34132       1.10000       1.90000       0.00000       6396.87471    0.28453       0.48781   
2.80000       1.27787       1.20000       0.50000       0.00000       7397.92308    0.48786       0.61197   
2.80000       1.28412       1.20000       0.60000       0.00000       7290.32949    0.46742       0.60020   
2.80000       1.28986       1.20000       0.70000       0.00000       7193.43667    0.44862       0.58931   
2.80000       1.29515       1.20000       0.80000       0.00000       7105.71610    0.43127       0.57919   
