# Mass           Radius         Fe/Mg          Si/Mg          wt%+h2o        Bulk density   core_wt%       core_rad%      
3.80000       1.46581       0.50000       0.50000       0.00000       6652.05400    0.28414       0.48103   
3.80000       1.47054       0.50000       0.60000       0.00000       6588.16496    0.26777       0.47033   
3.80000       1.47476       0.50000       0.70000       0.00000       6531.77969    0.25318       0.46054   
3.80000       1.47855       0.50000       0.80000       0.00000       6481.64933    0.24010       0.45154   
3.80000       1.48198       0.50000       0.90000       0.00000       6436.77604    0.22830       0.44322   
3.80000       1.48707       0.50000       1.00000       0.00000       6370.91731    0.21761       0.43493   
3.80000       1.48805       0.50000       1.10000       0.00000       6358.33732    0.20788       0.42827   
3.80000       1.49077       0.50000       1.20000       0.00000       6323.55217    0.19898       0.42151   
3.80000       1.49328       0.50000       1.30000       0.00000       6291.64875    0.19081       0.41516   
3.80000       1.49561       0.50000       1.40000       0.00000       6262.29963    0.18328       0.40918   
3.80000       1.49777       0.50000       1.50000       0.00000       6235.25210    0.17633       0.40354   
3.80000       1.49978       0.50000       1.60000       0.00000       6210.23501    0.16988       0.39821   
3.80000       1.50165       0.50000       1.70000       0.00000       6187.04730    0.16389       0.39315   
3.80000       1.50339       0.50000       1.80000       0.00000       6165.60986    0.15831       0.38835   
3.80000       1.50503       0.50000       1.90000       0.00000       6145.49446    0.15309       0.38378   
3.80000       1.45091       0.60000       0.50000       0.00000       6859.09477    0.32263       0.50639   
3.80000       1.45623       0.60000       0.60000       0.00000       6784.28416    0.30499       0.49536   
3.80000       1.46100       0.60000       0.70000       0.00000       6718.04026    0.28917       0.48525   
3.80000       1.46531       0.60000       0.80000       0.00000       6658.97260    0.27492       0.47595   
3.80000       1.46922       0.60000       0.90000       0.00000       6605.95686    0.26200       0.46733   
3.80000       1.47470       0.60000       1.00000       0.00000       6532.46947    0.25024       0.45873   
3.80000       1.47616       0.60000       1.10000       0.00000       6513.16261    0.23950       0.45182   
3.80000       1.47928       0.60000       1.20000       0.00000       6472.03758    0.22963       0.44479   
3.80000       1.48217       0.60000       1.30000       0.00000       6434.29706    0.22055       0.43819   
3.80000       1.48484       0.60000       1.40000       0.00000       6399.55388    0.21216       0.43197   
3.80000       1.48733       0.60000       1.50000       0.00000       6367.48487    0.20438       0.42609   
3.80000       1.48965       0.60000       1.60000       0.00000       6337.80138    0.19716       0.42053   
3.80000       1.49181       0.60000       1.70000       0.00000       6310.26083    0.19043       0.41526   
3.80000       1.49383       0.60000       1.80000       0.00000       6284.78507    0.18414       0.41025   
3.80000       1.49573       0.60000       1.90000       0.00000       6260.85779    0.17825       0.40548   
3.80000       1.43740       0.70000       0.50000       0.00000       7054.32262    0.35720       0.52839   
3.80000       1.44319       0.70000       0.60000       0.00000       6969.87281    0.33861       0.51711   
3.80000       1.44840       0.70000       0.70000       0.00000       6894.84711    0.32186       0.50676   
3.80000       1.45313       0.70000       0.80000       0.00000       6827.75643    0.30668       0.49722   
3.80000       1.45744       0.70000       0.90000       0.00000       6767.39912    0.29288       0.48837   
3.80000       1.46326       0.70000       1.00000       0.00000       6686.90909    0.28026       0.47953   
3.80000       1.46512       0.70000       1.10000       0.00000       6661.54688    0.26869       0.47241   
3.80000       1.46857       0.70000       1.20000       0.00000       6614.61079    0.25803       0.46517   
3.80000       1.47178       0.70000       1.30000       0.00000       6571.49001    0.24819       0.45836   
3.80000       1.47476       0.70000       1.40000       0.00000       6531.75385    0.23907       0.45194   
3.80000       1.47753       0.70000       1.50000       0.00000       6495.03255    0.23059       0.44587   
3.80000       1.48012       0.70000       1.60000       0.00000       6461.01939    0.22270       0.44013   
3.80000       1.48254       0.70000       1.70000       0.00000       6429.43599    0.21533       0.43467   
3.80000       1.48480       0.70000       1.80000       0.00000       6400.14500    0.20843       0.42949   
3.80000       1.48693       0.70000       1.90000       0.00000       6372.67857    0.20196       0.42455   
3.80000       1.42509       0.80000       0.50000       0.00000       7238.84303    0.38841       0.54779   
3.80000       1.43124       0.80000       0.60000       0.00000       7145.85564    0.36912       0.53634   
3.80000       1.43682       0.80000       0.70000       0.00000       7062.99665    0.35167       0.52581   
3.80000       1.44189       0.80000       0.80000       0.00000       6988.69659    0.33578       0.51607   
3.80000       1.44653       0.80000       0.90000       0.00000       6921.69490    0.32128       0.50704   
3.80000       1.45262       0.80000       1.00000       0.00000       6834.95753    0.30797       0.49801   
3.80000       1.45482       0.80000       1.10000       0.00000       6803.92880    0.29572       0.49072   
3.80000       1.45857       0.80000       1.20000       0.00000       6751.65501    0.28441       0.48331   
3.80000       1.46205       0.80000       1.30000       0.00000       6703.58179    0.27393       0.47633   
3.80000       1.46529       0.80000       1.40000       0.00000       6659.22855    0.26420       0.46974   
3.80000       1.46831       0.80000       1.50000       0.00000       6618.19059    0.25513       0.46352   
3.80000       1.47113       0.80000       1.60000       0.00000       6580.14743    0.24667       0.45762   
3.80000       1.47378       0.80000       1.70000       0.00000       6544.77769    0.23875       0.45201   
3.80000       1.47625       0.80000       1.80000       0.00000       6511.94056    0.23132       0.44668   
3.80000       1.47859       0.80000       1.90000       0.00000       6481.11614    0.22434       0.44160   
3.80000       1.41380       0.90000       0.50000       0.00000       7413.60624    0.41672       0.56514   
3.80000       1.42025       0.90000       0.60000       0.00000       7313.04709    0.39695       0.55355   
3.80000       1.42612       0.90000       0.70000       0.00000       7223.17280    0.37896       0.54288   
3.80000       1.43147       0.90000       0.80000       0.00000       7142.38281    0.36254       0.53301   
3.80000       1.43638       0.90000       0.90000       0.00000       7069.36637    0.34748       0.52383   
3.80000       1.44270       0.90000       1.00000       0.00000       6976.91092    0.33362       0.51464   
3.80000       1.44520       0.90000       1.10000       0.00000       6940.75802    0.32083       0.50722   
3.80000       1.44919       0.90000       1.20000       0.00000       6883.57256    0.30898       0.49966   
