# Mass           Radius         Fe/Mg          Si/Mg          wt%+h2o        Bulk density   core_wt%       core_rad%      
1.70000       1.18176       0.50000       0.50000       0.00000       5678.91313    0.28414       0.48940   
1.70000       1.18498       0.50000       0.60000       0.00000       5632.75838    0.26777       0.47867   
1.70000       1.18785       0.50000       0.70000       0.00000       5592.03760    0.25318       0.46885   
1.70000       1.19043       0.50000       0.80000       0.00000       5555.83742    0.24010       0.45980   
1.70000       1.19275       0.50000       0.90000       0.00000       5523.45354    0.22830       0.45143   
1.70000       1.19485       0.50000       1.00000       0.00000       5494.30833    0.21761       0.44366   
1.70000       1.19694       0.50000       1.10000       0.00000       5465.65440    0.20788       0.43634   
1.70000       1.19879       0.50000       1.20000       0.00000       5440.33362    0.19898       0.42951   
1.70000       1.20050       0.50000       1.30000       0.00000       5417.12246    0.19081       0.42310   
1.70000       1.20208       0.50000       1.40000       0.00000       5395.76935    0.18328       0.41706   
1.70000       1.20355       0.50000       1.50000       0.00000       5376.07953    0.17633       0.41136   
1.70000       1.20488       0.50000       1.60000       0.00000       5358.30924    0.16988       0.40597   
1.70000       1.20610       0.50000       1.70000       0.00000       5342.01159    0.16389       0.40087   
1.70000       1.20726       0.50000       1.80000       0.00000       5326.60976    0.15831       0.39601   
1.70000       1.20835       0.50000       1.90000       0.00000       5312.19654    0.15309       0.39138   
1.70000       1.17004       0.60000       0.50000       0.00000       5851.34068    0.32263       0.51513   
1.70000       1.17376       0.60000       0.60000       0.00000       5795.94394    0.30499       0.50408   
1.70000       1.17709       0.60000       0.70000       0.00000       5746.90163    0.28917       0.49395   
1.70000       1.18008       0.60000       0.80000       0.00000       5703.19256    0.27492       0.48460   
1.70000       1.18280       0.60000       0.90000       0.00000       5663.97705    0.26200       0.47595   
1.70000       1.18527       0.60000       1.00000       0.00000       5628.59636    0.25024       0.46789   
1.70000       1.18771       0.60000       1.10000       0.00000       5594.07284    0.23950       0.46029   
1.70000       1.18988       0.60000       1.20000       0.00000       5563.47411    0.22963       0.45321   
1.70000       1.19189       0.60000       1.30000       0.00000       5535.39649    0.22055       0.44654   
1.70000       1.19375       0.60000       1.40000       0.00000       5509.54308    0.21216       0.44026   
1.70000       1.19548       0.60000       1.50000       0.00000       5485.67708    0.20438       0.43433   
1.70000       1.19706       0.60000       1.60000       0.00000       5464.00925    0.19716       0.42872   
1.70000       1.19852       0.60000       1.70000       0.00000       5444.10439    0.19043       0.42340   
1.70000       1.19990       0.60000       1.80000       0.00000       5425.32654    0.18414       0.41833   
1.70000       1.20120       0.60000       1.90000       0.00000       5407.74813    0.17825       0.41350   
1.70000       1.15939       0.70000       0.50000       0.00000       6014.04203    0.35720       0.53743   
1.70000       1.16351       0.70000       0.60000       0.00000       5950.46541    0.33861       0.52615   
1.70000       1.16721       0.70000       0.70000       0.00000       5894.01186    0.32186       0.51578   
1.70000       1.17056       0.70000       0.80000       0.00000       5843.54299    0.30668       0.50620   
1.70000       1.17361       0.70000       0.90000       0.00000       5798.15377    0.29288       0.49732   
1.70000       1.17639       0.70000       1.00000       0.00000       5757.10411    0.28026       0.48904   
1.70000       1.17912       0.70000       1.10000       0.00000       5717.23320    0.26869       0.48123   
1.70000       1.18156       0.70000       1.20000       0.00000       5681.79302    0.25803       0.47393   
1.70000       1.18383       0.70000       1.30000       0.00000       5649.23171    0.24819       0.46707   
1.70000       1.18593       0.70000       1.40000       0.00000       5619.22026    0.23907       0.46059   
1.70000       1.18789       0.70000       1.50000       0.00000       5591.48354    0.23059       0.45447   
1.70000       1.18969       0.70000       1.60000       0.00000       5566.19075    0.22270       0.44867   
1.70000       1.19135       0.70000       1.70000       0.00000       5542.91873    0.21533       0.44317   
1.70000       1.19293       0.70000       1.80000       0.00000       5520.98817    0.20843       0.43794   
1.70000       1.19441       0.70000       1.90000       0.00000       5500.44741    0.20196       0.43294   
1.70000       1.14967       0.80000       0.50000       0.00000       6167.88166    0.38841       0.55709   
1.70000       1.15411       0.80000       0.60000       0.00000       6097.04651    0.36912       0.54563   
1.70000       1.15811       0.80000       0.70000       0.00000       6033.95944    0.35167       0.53509   
1.70000       1.16176       0.80000       0.80000       0.00000       5977.41324    0.33578       0.52533   
