# Mass           Radius         Fe/Mg          Si/Mg          wt%+h2o        Bulk density   core_wt%       core_rad%      
4.00000       1.48559       0.50000       0.50000       0.00000       6726.26742    0.28414       0.48052   
4.00000       1.49043       0.50000       0.60000       0.00000       6660.92244    0.26777       0.46981   
4.00000       1.49475       0.50000       0.70000       0.00000       6603.27389    0.25318       0.46003   
4.00000       1.49864       0.50000       0.80000       0.00000       6552.01292    0.24010       0.45103   
4.00000       1.50216       0.50000       0.90000       0.00000       6506.12606    0.22830       0.44271   
4.00000       1.50730       0.50000       1.00000       0.00000       6439.69633    0.21761       0.43443   
4.00000       1.50837       0.50000       1.10000       0.00000       6426.11104    0.20788       0.42777   
4.00000       1.51115       0.50000       1.20000       0.00000       6390.69335    0.19898       0.42101   
4.00000       1.51372       0.50000       1.30000       0.00000       6358.21938    0.19081       0.41466   
4.00000       1.51609       0.50000       1.40000       0.00000       6328.33703    0.18328       0.40869   
4.00000       1.51830       0.50000       1.50000       0.00000       6300.80155    0.17633       0.40305   
4.00000       1.52035       0.50000       1.60000       0.00000       6275.33184    0.16988       0.39772   
4.00000       1.52226       0.50000       1.70000       0.00000       6251.69821    0.16389       0.39267   
4.00000       1.52404       0.50000       1.80000       0.00000       6229.86824    0.15831       0.38787   
4.00000       1.52572       0.50000       1.90000       0.00000       6209.36514    0.15309       0.38330   
4.00000       1.47047       0.60000       0.50000       0.00000       6935.85330    0.32263       0.50585   
4.00000       1.47591       0.60000       0.60000       0.00000       6859.48291    0.30499       0.49482   
4.00000       1.48079       0.60000       0.70000       0.00000       6791.84679    0.28917       0.48472   
4.00000       1.48520       0.60000       0.80000       0.00000       6731.54134    0.27492       0.47541   
4.00000       1.48920       0.60000       0.90000       0.00000       6677.41923    0.26200       0.46679   
4.00000       1.49476       0.60000       1.00000       0.00000       6603.19098    0.25024       0.45821   
4.00000       1.49630       0.60000       1.10000       0.00000       6582.88703    0.23950       0.45129   
4.00000       1.49948       0.60000       1.20000       0.00000       6541.05665    0.22963       0.44426   
4.00000       1.50242       0.60000       1.30000       0.00000       6502.67004    0.22055       0.43766   
4.00000       1.50515       0.60000       1.40000       0.00000       6467.32593    0.21216       0.43145   
4.00000       1.50769       0.60000       1.50000       0.00000       6434.71173    0.20438       0.42558   
4.00000       1.51006       0.60000       1.60000       0.00000       6404.52263    0.19716       0.42002   
4.00000       1.51227       0.60000       1.70000       0.00000       6376.50163    0.19043       0.41475   
4.00000       1.51432       0.60000       1.80000       0.00000       6350.54878    0.18414       0.40974   
4.00000       1.51626       0.60000       1.90000       0.00000       6326.20828    0.17825       0.40497   
4.00000       1.45676       0.70000       0.50000       0.00000       7133.47827    0.35720       0.52783   
4.00000       1.46267       0.70000       0.60000       0.00000       7047.36041    0.33861       0.51655   
4.00000       1.46801       0.70000       0.70000       0.00000       6970.84429    0.32186       0.50621   
4.00000       1.47284       0.70000       0.80000       0.00000       6902.42531    0.30668       0.49666   
4.00000       1.47724       0.70000       0.90000       0.00000       6840.87751    0.29288       0.48781   
4.00000       1.48315       0.70000       1.00000       0.00000       6759.42362    0.28026       0.47898   
4.00000       1.48508       0.70000       1.10000       0.00000       6733.12694    0.26869       0.47186   
4.00000       1.48861       0.70000       1.20000       0.00000       6685.41796    0.25803       0.46462   
4.00000       1.49187       0.70000       1.30000       0.00000       6641.58989    0.24819       0.45781   
4.00000       1.49491       0.70000       1.40000       0.00000       6601.20281    0.23907       0.45140   
4.00000       1.49774       0.70000       1.50000       0.00000       6563.86562    0.23059       0.44534   
4.00000       1.50038       0.70000       1.60000       0.00000       6529.28983    0.22270       0.43959   
4.00000       1.50285       0.70000       1.70000       0.00000       6497.17052    0.21533       0.43414   
4.00000       1.50515       0.70000       1.80000       0.00000       6467.38373    0.20843       0.42896   
4.00000       1.50732       0.70000       1.90000       0.00000       6439.44495    0.20196       0.42403   
4.00000       1.44427       0.80000       0.50000       0.00000       7320.23193    0.38841       0.54722   
4.00000       1.45055       0.80000       0.60000       0.00000       7225.48590    0.36912       0.53577   
4.00000       1.45625       0.80000       0.70000       0.00000       7141.05845    0.35167       0.52523   
4.00000       1.46143       0.80000       0.80000       0.00000       7065.35645    0.33578       0.51550   
4.00000       1.46617       0.80000       0.90000       0.00000       6997.08396    0.32128       0.50647   
4.00000       1.47237       0.80000       1.00000       0.00000       6909.00306    0.30797       0.49743   
4.00000       1.47463       0.80000       1.10000       0.00000       6877.28859    0.29572       0.49015   
