#       	100%fe	95%fe 	90%fe 	85%fe 	80%fe 	75%fe 	70%fe 	65%fe 	60%fe 	55%fe 	50%fe 	45%fe 	40%fe 	35%fe 	30%fe 	25%fe 	20%fe 	15%fe 	10%fe 	5%fe  	rocky 	5%h2o 	10%h2o	15%h2o	20%h2o	25%h2o	30%h2o	35%h2o	40%h2o	45%h2o	50%h2o	55%h2o	60%h2o	65%h2o	70%h2o	75%h2o	80%h2o	85%h2o	90%h2o	95%h2o	100%h2o	cold_h2/he	max_coll_strip
#Mearth 	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth 	Rearth    	Rearth        
0.1436 	0.4644	0.4748	0.484 	0.4931	0.5017	0.51  	0.518 	0.5254	0.5325	0.5394	0.5461	0.5526	0.5586	0.5649	0.5705	0.5762	0.582 	0.5875	0.5931	0.5987	0.6043	0.6229	0.6385	0.6527	0.6646	0.6758	0.6865	0.6968	0.7067	0.7163	0.7256	0.7347	0.7436	0.7523	0.7608	0.7691	0.7773	0.7854	0.7933	0.8012	0.8088 	1.566     	              
0.1539 	0.4745	0.4851	0.4946	0.5039	0.5128	0.5213	0.5294	0.5369	0.544 	0.5509	0.5578	0.5645	0.5705	0.5767	0.5825	0.5882	0.594 	0.5997	0.6053	0.6111	0.6166	0.6356	0.6516	0.6659	0.6778	0.6893	0.7003	0.7108	0.721 	0.7308	0.7404	0.7497	0.7588	0.7678	0.7765	0.785 	0.7933	0.8016	0.8097	0.8177	0.8256 	1.601     	              
0.1649 	0.4847	0.4956	0.5054	0.5149	0.524 	0.5327	0.5409	0.5485	0.5558	0.5629	0.5697	0.5765	0.5825	0.5887	0.5947	0.6005	0.6062	0.6121	0.6179	0.6237	0.6291	0.6485	0.665 	0.6792	0.6913	0.7031	0.7143	0.725 	0.7354	0.7455	0.7553	0.7649	0.7743	0.7834	0.7924	0.8011	0.8096	0.818 	0.8264	0.8346	0.8427 	1.637     	              
0.1768 	0.4951	0.5063	0.5163	0.5261	0.5353	0.5443	0.5525	0.5602	0.5677	0.575 	0.5817	0.5886	0.5946	0.6007	0.6069	0.6129	0.6188	0.6247	0.6307	0.6364	0.642 	0.6618	0.6788	0.6928	0.7052	0.7172	0.7285	0.7395	0.75  	0.7603	0.7705	0.7803	0.7899	0.7993	0.8085	0.8174	0.8262	0.8348	0.8433	0.8518	0.8601 	1.673     	              
0.1895 	0.5058	0.5172	0.5276	0.5375	0.547 	0.5561	0.5643	0.5722	0.5798	0.5872	0.5939	0.6008	0.607 	0.6132	0.6193	0.6256	0.6316	0.6376	0.6436	0.6494	0.6555	0.6758	0.6932	0.707 	0.7196	0.7317	0.7432	0.7543	0.765 	0.7755	0.7858	0.7959	0.8057	0.8154	0.8248	0.834 	0.8431	0.8519	0.8606	0.8693	0.8778 	1.711     	              
0.2031 	0.5167	0.5284	0.539 	0.5492	0.5589	0.5681	0.5764	0.5844	0.5921	0.5996	0.6063	0.6131	0.6195	0.6259	0.6322	0.6384	0.6447	0.6508	0.6569	0.6626	0.6688	0.6896	0.7074	0.7213	0.7343	0.7467	0.7585	0.7696	0.7805	0.7911	0.8015	0.8118	0.8218	0.8317	0.8414	0.8509	0.8602	0.8693	0.8783	0.8872	0.8959 	1.75      	              
0.2176 	0.5277	0.5397	0.5507	0.5611	0.5711	0.5802	0.5887	0.597 	0.6046	0.6121	0.6189	0.6255	0.6322	0.6388	0.6453	0.6516	0.6579	0.6642	0.6705	0.6763	0.6825	0.7037	0.7218	0.7357	0.7491	0.7616	0.7736	0.7851	0.7964	0.8073	0.8177	0.828 	0.8382	0.8482	0.8581	0.8679	0.8777	0.887 	0.8963	0.9053	0.9144 	1.789     	              
0.2333 	0.5389	0.5512	0.5625	0.5731	0.5833	0.5925	0.6012	0.6096	0.6172	0.6248	0.6317	0.6384	0.6452	0.6519	0.6585	0.6651	0.6715	0.6778	0.6843	0.6904	0.6965	0.7182	0.7364	0.7506	0.7642	0.7769	0.7891	0.8008	0.8123	0.8235	0.8343	0.8449	0.855 	0.8651	0.8752	0.8852	0.8953	0.9051	0.9146	0.9239	0.9331 	1.828     	              
0.25   	0.5504	0.563 	0.5745	0.5854	0.5958	0.605 	0.6139	0.6224	0.63  	0.6375	0.6446	0.6516	0.6585	0.6653	0.672 	0.6787	0.6854	0.6919	0.6983	0.7045	0.711 	0.7333	0.7514	0.7661	0.7798	0.7927	0.805 	0.8169	0.8286	0.8399	0.8509	0.8617	0.8723	0.8826	0.8927	0.9028	0.9133	0.9234	0.9333	0.9428	0.9522 	1.869     	              
0.2679 	0.5621	0.5749	0.5868	0.598 	0.6085	0.6178	0.6268	0.6354	0.643 	0.6504	0.6577	0.6649	0.672 	0.679 	0.6859	0.6927	0.6995	0.7061	0.7127	0.7189	0.7255	0.7483	0.7664	0.7816	0.7956	0.8088	0.8215	0.8337	0.8454	0.8568	0.8679	0.8789	0.8896	0.9004	0.9109	0.921 	0.9315	0.942 	0.9522	0.9621	0.9717 	1.911     	              
